location,total_sqft,bath,price,bhk,property_type,amenities_score
Electronic City Phase II,1056.0,2.0,3907000.0,2,Apartment,5
Chikka Tirupathi,2600.0,5.0,12000000.0,4,Villa,7
Uttarahalli,1440.0,2.0,6200000.0,3,Apartment,9
Lingadheeranahalli,1521.0,3.0,9500000.0,3,Apartment,5
Kothanur,1200.0,2.0,5100000.0,2,Apartment,6
Whitefield,1170.0,2.0,3800000.0,2,Apartment,7
Old Airport Road,2732.0,4.0,20400000.0,4,Villa,7
Rajaji Nagar,3300.0,4.0,60000000.0,4,Villa,7
Marathahalli,1310.0,3.0,6325000.0,3,Apartment,5
Whitefield,1800.0,2.0,7000000.0,3,Apartment,7
Whitefield,2785.0,5.0,29500000.0,4,Villa,7
7th Phase JP Nagar,1000.0,2.0,3800000.0,2,Apartment,8
Gottigere,1100.0,2.0,4000000.0,2,Apartment,9
Sarjapur,2250.0,3.0,14800000.0,3,Apartment,7
Mysore Road,1175.0,2.0,7350000.0,2,Apartment,7
Bisuvanahalli,1180.0,3.0,4800000.0,3,Apartment,9
Raja Rajeshwari Nagar,1540.0,3.0,6000000.0,3,Apartment,8
other,2770.0,4.0,29000000.0,3,Apartment,6
other,1100.0,2.0,4800000.0,2,Apartment,5
Kengeri,600.0,1.0,1500000.0,1,Apartment,8
Binny Pete,1755.0,3.0,12200000.0,3,Apartment,5
Thanisandra,2800.0,5.0,38000000.0,4,Villa,8
Bellandur,1767.0,3.0,10300000.0,3,Apartment,9
Thanisandra,510.0,1.0,2525000.0,1,Apartment,9
other,1250.0,3.0,5600000.0,3,Apartment,6
Electronic City,660.0,1.0,2310000.0,2,Apartment,8
Whitefield,1610.0,3.0,8100000.0,3,Apartment,5
Ramagondanahalli,1151.0,2.0,4877000.0,2,Apartment,5
Electronic City,1025.0,2.0,4700000.0,3,Apartment,7
Yelahanka,2475.0,4.0,18600000.0,4,Villa,9
Bisuvanahalli,1075.0,2.0,3500000.0,3,Apartment,9
Hebbal,1760.0,2.0,12300000.0,3,Apartment,6
Raja Rajeshwari Nagar,1693.0,3.0,5739000.0,3,Apartment,7
Kasturi Nagar,1925.0,3.0,12500000.0,3,Apartment,5
Kanakpura Road,700.0,2.0,3600000.0,2,Apartment,8
Electronics City Phase 1,1070.0,2.0,4550000.0,2,Apartment,7
Kundalahalli,1724.0,3.0,12500000.0,3,Apartment,8
Chikkalasandra,1290.0,2.0,5612000.0,3,Apartment,5
Uttarahalli,1143.0,2.0,4500000.0,2,Apartment,7
Murugeshpalya,1296.0,2.0,8100000.0,2,Apartment,5
Sarjapur  Road,1254.0,3.0,3800000.0,3,Apartment,7
other,600.0,1.0,3800000.0,1,Apartment,7
Yelahanka,660.0,1.0,4800000.0,1,Apartment,7
Kanakpura Road,1330.74,2.0,9179000.0,2,Apartment,8
Doddathoguru,970.0,2.0,3300000.0,2,Apartment,6
Whitefield,1459.0,2.0,9482000.0,2,Apartment,9
KR Puram,800.0,1.0,13000000.0,2,Apartment,6
other,869.0,2.0,3600000.0,2,Apartment,6
other,1270.0,2.0,5000000.0,2,Apartment,8
Bhoganhalli,1670.0,3.0,9900000.0,3,Apartment,8
Whitefield,2010.0,3.0,9100000.0,3,Apartment,7
Lakshminarayana Pura,1185.0,2.0,7500000.0,2,Apartment,7
Yelahanka,1600.0,2.0,7500000.0,3,Apartment,6
Begur Road,1200.0,2.0,4400000.0,2,Apartment,6
other,1500.0,2.0,18500000.0,2,Apartment,9
other,840.0,2.0,4500000.0,2,Apartment,6
other,4395.0,3.0,24000000.0,3,Apartment,8
other,845.0,2.0,5500000.0,2,Apartment,9
Whitefield,5700.0,5.0,65000000.0,4,Villa,8
Varthur,1160.0,2.0,4400000.0,2,Apartment,8
Bommanahalli,3000.0,8.0,14000000.0,8,Villa,9
Doddathoguru,1100.0,2.0,6200000.0,2,Apartment,6
Gunjur,1140.0,2.0,4300000.0,2,Apartment,8
Marathahalli,1220.0,2.0,5700000.0,2,Apartment,5
Kanakpura Road,1005.0,2.0,3668000.0,2,Apartment,8
Begur Road,1358.0,2.0,8058000.0,2,Apartment,8
Hegde Nagar,1569.0,3.0,10100000.0,3,Apartment,9
Haralur Road,1240.0,2.0,7000000.0,2,Apartment,9
Hennur Road,2089.0,3.0,14000000.0,3,Apartment,8
Kothannur,1206.0,2.0,4823000.0,2,Apartment,7
Kalena Agrahara,1150.0,2.0,4000000.0,2,Apartment,5
other,2511.0,3.0,20500000.0,3,Apartment,8
ISRO Layout,4400.0,6.0,25000000.0,6,Villa,8
other,1660.0,2.0,10500000.0,3,Apartment,9
Yelahanka,1326.0,2.0,7800000.0,2,Apartment,7
Garudachar Palya,1325.0,2.0,6080000.0,3,Apartment,9
Hegde Nagar,3000.0,7.0,21000000.0,6,Villa,7
Kanakpura Road,1665.0,3.0,8800000.0,3,Apartment,6
Dasanapura,708.0,2.0,3700000.0,2,Apartment,6
Kasavanhalli,1060.0,2.0,5806000.0,2,Apartment,5
Sanjay nagar,1000.0,2.0,7000000.0,2,Apartment,9
Electronic City,1000.0,2.0,2888000.0,2,Apartment,9
other,1450.0,2.0,7000000.0,3,Apartment,6
ISRO Layout,1200.0,4.0,15500000.0,4,Apartment,5
Thanisandra,1296.0,2.0,8000000.0,2,Apartment,5
Domlur,1540.0,3.0,9000000.0,3,Apartment,5
Kengeri,2894.0,4.0,24500000.0,4,Villa,7
Sarjapura - Attibele Road,1330.0,2.0,4800000.0,3,Apartment,7
other,1200.0,2.0,6500000.0,2,Apartment,5
other,1200.0,3.0,9000000.0,3,Apartment,7
Yeshwanthpur,2502.0,3.0,13800000.0,3,Apartment,7
Chandapura,650.0,1.0,1700000.0,2,Apartment,6
Kothanur,2400.0,2.0,15000000.0,3,Apartment,6
other,1007.0,2.0,4300000.0,2,Apartment,7
other,1200.0,2.0,5000000.0,2,Apartment,5
other,966.0,2.0,4990000.0,2,Apartment,6
Nagarbhavi,1630.0,2.0,9800000.0,3,Apartment,8
Rajaji Nagar,1640.0,3.0,22900000.0,3,Apartment,6
other,782.0,2.0,5568000.0,2,Apartment,8
Devanahalli,1260.0,2.0,6678000.0,2,Apartment,6
other,1800.0,3.0,12000000.0,3,Apartment,8
other,1413.0,2.0,7500000.0,3,Apartment,5
Whitefield,1116.0,2.0,5191000.0,2,Apartment,5
Electronic City,1530.0,2.0,4590000.0,3,Apartment,5
Ramamurthy Nagar,3700.0,4.0,22500000.0,4,Villa,9
Sarjapur  Road,2497.0,3.0,14000000.0,3,Apartment,9
Kengeri,1540.0,2.0,6400000.0,3,Apartment,9
Thanisandra,1436.0,3.0,7475000.0,3,Apartment,6
Malleshwaram,1100.0,2.0,7500000.0,2,Apartment,5
Thanisandra,1427.0,3.0,12000000.0,3,Apartment,6
Akshaya Nagar,2061.0,3.0,20000000.0,3,Apartment,8
Hebbal,5611.5,4.0,47700000.0,4,Villa,8
Shampura,2650.0,4.0,15000000.0,4,Villa,7
Devanahalli,1282.0,2.0,6852000.0,3,Apartment,9
Kadugodi,1050.0,2.0,3400000.0,2,Apartment,6
LB Shastri Nagar,1600.0,3.0,6500000.0,3,Apartment,6
other,945.0,2.0,5400000.0,2,Apartment,9
Hormavu,1500.0,2.0,7800000.0,2,Apartment,6
other,1870.0,3.0,11000000.0,3,Apartment,5
Sarjapur,1600.0,3.0,7500000.0,3,Apartment,8
Electronic City,880.0,1.0,1650000.0,2,Apartment,9
other,1200.0,4.0,21000000.0,4,Apartment,8
Kudlu Gate,1535.0,3.0,8300000.0,3,Apartment,7
Kanakpura Road,950.0,2.0,5700000.0,2,Apartment,6
Devanahalli,1360.0,2.0,6500000.0,2,Apartment,9
8th Phase JP Nagar,1073.5,2.0,5400500.0,2,Apartment,9
Bommasandra Industrial Area,1280.0,3.0,5040000.0,3,Apartment,9
other,1260.0,2.0,8505000.0,3,Apartment,7
Hennur Road,5000.0,8.0,25000000.0,8,Villa,8
Yelahanka,3050.0,5.0,21300000.0,5,Villa,8
Kasavanhalli,1563.05,3.0,10500000.0,3,Apartment,5
ISRO Layout,1000.0,2.0,6000000.0,2,Apartment,9
Anandapura,1167.0,2.0,4376000.0,2,Apartment,7
Vishveshwarya Layout,4000.0,7.0,22500000.0,7,Villa,9
Kothanur,1828.0,3.0,11000000.0,3,Apartment,5
Kengeri Satellite Town,890.0,2.0,3500000.0,2,Apartment,5
other,1612.0,3.0,4674000.0,3,Apartment,7
Mysore Road,1710.0,4.0,9131000.0,3,Apartment,7
Kannamangala,957.0,2.0,5800000.0,2,Apartment,8
Devarachikkanahalli,1250.0,2.0,4400000.0,3,Apartment,6
other,2795.0,4.0,23500000.0,3,Apartment,9
Hulimavu,1125.0,2.0,5000000.0,2,Apartment,8
Electronic City Phase II,1020.0,2.0,3060000.0,2,Apartment,5
Kalena Agrahara,1200.0,2.0,5000000.0,2,Apartment,6
Thanisandra,1735.0,3.0,13500000.0,3,Apartment,7
Thanisandra,2050.0,3.0,14500000.0,3,Apartment,8
Mahalakshmi Layout,3750.0,4.0,76000000.0,4,Villa,8
other,1350.0,2.0,4800000.0,3,Apartment,7
Hosa Road,1063.0,2.0,3200000.0,2,Apartment,7
other,1904.0,3.0,15000000.0,3,Apartment,7
Whitefield,4200.0,4.0,42000000.0,4,Villa,8
other,2000.0,3.0,17500000.0,3,Apartment,5
Sarjapur,1242.5,2.0,4349000.0,2,Apartment,6
other,1425.0,2.0,7500000.0,3,Apartment,6
Electronic City,1500.0,2.0,6450000.0,3,Apartment,5
Electronic City,1060.0,2.0,6000000.0,2,Apartment,5
other,1470.0,2.0,7000000.0,3,Apartment,6
Attibele,450.0,1.0,1100000.0,1,Apartment,5
Electronic City,1152.0,2.0,6450000.0,2,Apartment,6
Electronic City,1350.0,2.0,5600000.0,3,Apartment,6
CV Raman Nagar,1550.0,3.0,6500000.0,3,Apartment,7
other,1500.0,3.0,10000000.0,3,Apartment,5
Nagavara,400.0,1.0,1400000.0,1,Apartment,7
Malleshwaram,705.0,1.0,6700000.0,1,Apartment,9
Electronic City,770.0,1.0,3600000.0,2,Apartment,7
Hulimavu,1242.0,2.0,5100000.0,2,Apartment,6
Hebbal Kempapura,1700.0,3.0,15500000.0,3,Apartment,7
Thanisandra,2144.0,3.0,14500000.0,3,Apartment,8
Vijayanagar,1704.0,3.0,11000000.0,3,Apartment,9
Electronic City,1070.0,2.0,5200000.0,2,Apartment,7
other,1846.0,3.0,30000000.0,3,Apartment,5
other,1340.0,2.0,5570000.0,2,Apartment,9
Electronic City,1025.0,2.0,4600000.0,2,Apartment,9
KR Puram,1277.5,2.0,5680000.0,2,Apartment,6
Marathahalli,1200.0,2.0,5200000.0,2,Apartment,8
Kanakpura Road,2250.0,4.0,11000000.0,4,Villa,9
Pattandur Agrahara,1550.0,2.0,8000000.0,3,Apartment,9
Bellandur,1200.0,5.0,32500000.0,4,Apartment,9
Marathahalli,1200.0,2.0,6000000.0,2,Apartment,5
Yelahanka,1327.0,2.0,9800000.0,2,Apartment,6
Kothanur,1186.0,2.0,5800000.0,2,Apartment,7
other,1783.0,3.0,11500000.0,3,Apartment,9
HSR Layout,1400.0,3.0,5600000.0,3,Apartment,5
Nagasandra,980.0,2.0,4800000.0,2,Apartment,7
EPIP Zone,1285.0,2.0,8200000.0,2,Apartment,6
other,912.0,2.0,7000000.0,3,Apartment,5
Whitefield,1225.0,2.0,4760000.0,2,Apartment,6
Whitefield,1075.0,2.0,5300000.0,2,Apartment,5
Kadugodi,1260.0,2.0,5400000.0,3,Apartment,8
Yelahanka,1282.0,2.0,4870000.0,3,Apartment,7
Kogilu,1909.0,3.0,8800000.0,3,Apartment,8
Panathur,1359.0,2.0,8700000.0,2,Apartment,6
other,1207.0,2.0,4350000.0,2,Apartment,6
1st Block Jayanagar,2850.0,4.0,42800000.0,4,Villa,7
Kammasandra,1595.0,3.0,6500000.0,3,Apartment,5
other,1798.0,3.0,8900000.0,3,Apartment,9
Electronics City Phase 1,1475.0,3.0,7829000.000000001,3,Apartment,8
other,1580.0,3.0,10000000.0,3,Apartment,5
Dasarahalli,1295.0,2.0,6500000.0,2,Apartment,8
Magadi Road,3600.0,6.0,14100000.0,6,Villa,8
Electronic City,589.0,1.0,2700000.0,1,Apartment,7
other,1415.0,3.0,7800000.0,3,Apartment,6
Sarjapur  Road,1787.0,3.0,9829000.0,3,Apartment,7
Sarjapur  Road,1787.0,3.0,12500000.0,3,Apartment,6
Koramangala,1475.0,2.0,9000000.0,3,Apartment,8
other,2000.0,4.0,7550000.0,4,Apartment,8
Sarjapur  Road,984.0,2.0,4428000.0,2,Apartment,5
other,2405.0,4.0,26000000.0,3,Apartment,7
7th Phase JP Nagar,1080.0,2.0,7200000.0,2,Apartment,7
other,1500.0,2.0,11500000.0,2,Apartment,8
Hebbal,1900.0,3.0,11900000.0,3,Apartment,8
Dommasandra,805.0,2.0,2214000.0,2,Apartment,7
Budigere,1153.0,2.0,5640000.0,2,Apartment,8
other,1148.0,2.0,6000000.0,2,Apartment,5
other,1110.0,2.0,5500000.0,2,Apartment,6
Electronic City,1100.0,2.0,4200000.0,2,Apartment,9
Kalyan nagar,1290.0,2.0,11000000.0,2,Apartment,6
other,1500.0,2.0,6500000.0,3,Apartment,8
other,1080.0,2.0,3900000.0,2,Apartment,6
Vijayanagar,1933.0,3.0,12900000.0,3,Apartment,9
Ramamurthy Nagar,3500.0,5.0,15000000.0,5,Villa,9
other,1060.0,2.0,6000000.0,2,Apartment,8
Chandapura,645.0,1.0,1645000.0,1,Apartment,7
other,2600.0,8.0,18000000.0,8,Villa,7
Chandapura,645.0,1.0,1645000.0,1,Apartment,6
other,1644.0,3.0,8400000.0,3,Apartment,8
other,1285.0,2.0,7250000.0,2,Apartment,6
Electronic City,1200.0,3.0,9000000.0,3,Apartment,8
Electronic City,910.0,2.0,4000000.0,2,Apartment,7
Kothanur,1577.0,3.0,7000000.0,3,Apartment,5
other,4050.0,3.0,28000000.0,3,Apartment,8
OMBR Layout,2420.0,3.0,18500000.0,3,Apartment,8
Chandapura,800.0,1.0,2000000.0,2,Apartment,9
other,1060.0,2.0,5500000.0,2,Apartment,5
7th Phase JP Nagar,1270.0,2.0,9300000.0,2,Apartment,5
other,900.0,2.0,2250000.0,2,Apartment,6
other,1280.0,2.0,6900000.0,2,Apartment,7
Horamavu Agara,1200.0,2.0,9500000.0,4,Apartment,8
Sarjapur  Road,1025.0,2.0,3600000.0,2,Apartment,5
Electronic City,1108.0,2.0,6300000.0,2,Apartment,6
other,3045.0,3.0,17000000.0,3,Apartment,9
Ambedkar Nagar,2900.0,3.0,30000000.0,4,Villa,8
Vijayanagar,1500.0,3.0,7550000.0,3,Apartment,8
Raja Rajeshwari Nagar,1295.0,2.0,4390000.0,2,Apartment,9
Budigere,1162.0,2.0,5990000.0,2,Apartment,6
Sarjapur  Road,1035.0,2.0,4920000.0,2,Apartment,9
Attibele,1600.0,4.0,5280000.0,4,Apartment,6
other,1464.0,3.0,4600000.0,3,Apartment,7
Hennur Road,1866.0,2.0,6158000.0,3,Apartment,7
other,700.0,1.0,2600000.0,2,Apartment,7
Kalena Agrahara,1804.0,3.0,12000000.0,3,Apartment,8
Sarjapur,913.0,2.0,3200000.0,2,Apartment,6
Talaghattapura,1868.0,3.0,13100000.0,3,Apartment,7
Kengeri Satellite Town,883.0,2.0,4500000.0,2,Apartment,8
other,900.0,2.0,11000000.0,2,Apartment,5
Kogilu,1664.0,2.0,7395000.0,3,Apartment,5
Hegde Nagar,2026.0,3.0,13200000.0,3,Apartment,6
Balagere,1210.0,2.0,8090000.000000001,2,Apartment,7
other,4111.0,4.0,25000000.0,4,Villa,7
Kadugodi,1762.0,3.0,9145000.0,3,Apartment,6
Jigani,1252.0,3.0,5500000.0,3,Apartment,9
Gollarapalya Hosahalli,861.0,2.0,3450000.0,2,Apartment,7
7th Phase JP Nagar,1420.0,2.0,10000000.0,3,Apartment,5
Electronics City Phase 1,1490.0,3.0,7880000.0,3,Apartment,6
Bisuvanahalli,1075.0,2.0,4600000.0,3,Apartment,6
Old Madras Road,1425.0,2.0,9400000.0,3,Apartment,7
Kalena Agrahara,1200.0,2.0,4000000.0,2,Apartment,8
Kaggadasapura,1280.0,2.0,5600000.0,3,Apartment,8
other,1084.0,2.0,5000000.0,2,Apartment,9
Chandapura,1015.0,2.0,2588000.0,2,Apartment,6
Kanakpura Road,1017.0,2.0,5125000.0,2,Apartment,9
Haralur Road,1027.0,2.0,4400000.0,2,Apartment,9
Electronic City Phase II,1069.0,2.0,4500000.0,2,Apartment,5
Hebbal,1349.0,2.0,9820000.0,2,Apartment,5
9th Phase JP Nagar,1005.0,2.0,5000000.0,2,Apartment,6
Jakkur,1417.0,2.0,7500000.0,2,Apartment,9
TC Palaya,1475.0,3.0,9800000.0,3,Apartment,6
